temp,rag,answer_rate,error_given_answer,acc_given_answer,abstain_rate,intrinsic_all,extrinsic_all,correct_abstain_rate,wrong_abstain_rate,correct_answered,correct_all,false_all
0.2,ohne RAG,0.948,0.594937,0.405063,0.052,0.0,0.0,0.0,0.0,0.0,0.383999724,0.564000276
0.4,ohne RAG,0.938,0.597015,0.402985,0.062,0.0,0.0,0.0,0.0,0.0,0.37799993,0.56000007
0.6,ohne RAG,0.956,0.585774,0.414226,0.044,0.0,0.0,0.0,0.0,0.0,0.396000056,0.559999944
0.8,ohne RAG,0.942,0.600849,0.399151,0.058,0.0,0.0,0.0,0.0,0.0,0.376000242,0.5659997579999999
1.0,ohne RAG,0.96,0.61875,0.38125,0.04,0.0,0.0,0.0,0.0,0.0,0.366,0.594
0.2,mit RAG,0.866,0.572748,0.427252,0.134,0.0,0.0,0.0,0.0,0.0,0.37000023200000004,0.495999768
0.4,mit RAG,0.872,0.598624,0.401376,0.128,0.0,0.0,0.0,0.0,0.0,0.349999872,0.5220001280000001
0.6,mit RAG,0.862,0.603248,0.396752,0.138,0.0,0.0,0.0,0.0,0.0,0.34200022399999996,0.519999776
0.8,mit RAG,0.852,0.575117,0.424883,0.148,0.0,0.0,0.0,0.0,0.0,0.362000316,0.489999684
1.0,mit RAG,0.856,0.586449,0.413551,0.144,0.0,0.0,0.0,0.0,0.0,0.353999656,0.502000344
